Year,Site,BLB,BLC,BLG,BRS,BSB,CMM,CNS,CRC,EMS,FHM,GRS,JOD,PUS,NOP,ROG,WHS,YEP,YEB,Abundance
2020,Ashwa.,2,1,3,27,0,6,2,107,20,28,39,29,0,1,32,66,7,0,370
2021,Ashwa.,3,0,4,3,1,0,9,209,0,44,12,12,3,0,45,27,14,0,386
2022,Ashwa.,0,0,0,3,0,0,2,31,3,2,2,2,2,0,32,8,2,7,96
